PRODUCT,NPI,DESCRIPTION,PRIORITY
PROLIA,1003003625,340B SETTING,2
KANJINTI,1003006008,340B SETTING,2
MVASI,1003006008,340B SETTING,2
PROLIA,1003006008,340B SETTING,2
ARANESP,1003024134,340B SETTING,2
KANJINTI,1003024134,340B SETTING,2
PROLIA,1003024134,340B SETTING,2
MVASI,1003039488,340B SETTING,2
NEUPOGEN,1003039488,340B SETTING,2
PROLIA,1003039488,340B SETTING,2
ARANESP,1003065863,340B SETTING,2
KANJINTI,1003075029,340B SETTING,2
NEULASTA,1003075029,340B SETTING,2
PROLIA,1003075029,340B SETTING,2
TEZSPIRE,1003075029,340B SETTING,2
MVASI,1003084211,340B SETTING,2
PROLIA,1003096371,340B SETTING,2
KANJINTI,1003098773,340B SETTING,2
NEULASTA,1003098773,340B SETTING,2
PROLIA,1003098773,340B SETTING,2
NEULASTA,1003098930,340B SETTING,2
PROLIA,1003099508,340B SETTING,2
PROLIA,1003105941,340B SETTING,2
MVASI,1003111600,340B SETTING,2
PROLIA,1003133760,340B SETTING,2
ENBREL,1003145905,340B SETTING,2
EPOGEN,1003145905,340B SETTING,2
MVASI,1003145905,340B SETTING,2
TEZSPIRE,1003145905,340B SETTING,2
PROLIA,1003181637,340B SETTING,2
ARANESP,1003184474,340B SETTING,2
EPOGEN,1003184862,340B SETTING,2
MVASI,1003184862,340B SETTING,2
NEULASTA,1003184862,340B SETTING,2
NEULASTA,1003194002,340B SETTING,2
MVASI,1003201955,340B SETTING,2
PROLIA,1003201955,340B SETTING,2
ARANESP,1003210667,340B SETTING,2
PROLIA,1003210667,340B SETTING,2
RIABNI,1003210667,340B SETTING,2
PROLIA,1003241449,340B SETTING,2
TEZSPIRE,1003241449,340B SETTING,2
ARANESP,1003255464,340B SETTING,2
NEULASTA,1003255464,340B SETTING,2
NEUPOGEN,1003291535,340B SETTING,2
PROLIA,1003291535,340B SETTING,2
TEZSPIRE,1003300286,340B SETTING,2
AVSOLA,1003327792,340B SETTING,2
AVSOLA,1003352949,340B SETTING,2
NEULASTA,1003352949,340B SETTING,2
TEZSPIRE,1003352949,340B SETTING,2
MVASI,1003353202,340B SETTING,2
PROLIA,1003353202,340B SETTING,2
KANJINTI,1003401340,340B SETTING,2
MVASI,1003401340,340B SETTING,2
TEZSPIRE,1003441122,340B SETTING,2
EPOGEN,1003441643,340B SETTING,2
KANJINTI,1003441643,340B SETTING,2
NEULASTA,1003441643,340B SETTING,2
RIABNI,1003441643,340B SETTING,2
PROLIA,1003526294,340B SETTING,2
TEZSPIRE,1003802232,340B SETTING,2
PROLIA,1003807173,340B SETTING,2
KANJINTI,1003811621,340B SETTING,2
ARANESP,1003819319,340B SETTING,2
MVASI,1003819319,340B SETTING,2
ARANESP,1003820838,340B SETTING,2
KANJINTI,1003820838,340B SETTING,2
PROLIA,1003820838,340B SETTING,2
ARANESP,1003822412,340B SETTING,2
NEUPOGEN,1003822412,340B SETTING,2
EPOGEN,1003829722,340B SETTING,2
ARANESP,1003831173,340B SETTING,2
AVSOLA,1003831173,340B SETTING,2
ENBREL,1003831173,340B SETTING,2
EPOGEN,1003831173,340B SETTING,2
NEULASTA,1003831173,340B SETTING,2
NEUPOGEN,1003831173,340B SETTING,2
PROLIA,1003831173,340B SETTING,2
NEUPOGEN,1003832098,340B SETTING,2
EPOGEN,1003848144,340B SETTING,2
NEULASTA,1003848144,340B SETTING,2
PROLIA,1003848144,340B SETTING,2
KANJINTI,1003853409,340B SETTING,2
MVASI,1003853409,340B SETTING,2
PROLIA,1003853409,340B SETTING,2
ARANESP,1003854779,340B SETTING,2
KANJINTI,1003854779,340B SETTING,2
MVASI,1003854779,340B SETTING,2
PROLIA,1003854779,340B SETTING,2
ARANESP,1003855693,340B SETTING,2
AVSOLA,1003855693,340B SETTING,2
PROLIA,1003857061,340B SETTING,2
TEZSPIRE,1003857061,340B SETTING,2
AVSOLA,1003858176,340B SETTING,2
ENBREL,1003858176,340B SETTING,2
ARANESP,1003859711,340B SETTING,2
EPOGEN,1003859711,340B SETTING,2
KANJINTI,1003859711,340B SETTING,2
MVASI,1003860792,340B SETTING,2
PROLIA,1003860792,340B SETTING,2
ARANESP,1003861386,340B SETTING,2
MVASI,1003861386,340B SETTING,2
KANJINTI,1003861659,340B SETTING,2
NEULASTA,1003861659,340B SETTING,2
TEZSPIRE,1003861659,340B SETTING,2
ARANESP,1003865825,340B SETTING,2
PROLIA,1003865825,340B SETTING,2
ENBREL,1003866914,340B SETTING,2
ARANESP,1003868845,340B SETTING,2
PROLIA,1003868845,340B SETTING,2
MVASI,1003874603,340B SETTING,2
NEULASTA,1003874603,340B SETTING,2
KANJINTI,1003874694,340B SETTING,2
ARANESP,1003878539,340B SETTING,2
EPOGEN,1003878539,340B SETTING,2
KANJINTI,1003878539,340B SETTING,2
NEUPOGEN,1003878539,340B SETTING,2
KANJINTI,1003879099,340B SETTING,2
MVASI,1003879099,340B SETTING,2
PROLIA,1003879099,340B SETTING,2
AVSOLA,1003886367,340B SETTING,2
PROLIA,1003894122,340B SETTING,2
MVASI,1003901976,340B SETTING,2
EPOGEN,1003904624,340B SETTING,2
KANJINTI,1003904624,340B SETTING,2
MVASI,1003904624,340B SETTING,2
TEZSPIRE,1003904624,340B SETTING,2
MVASI,1003908625,340B SETTING,2
ARANESP,1003908658,340B SETTING,2
ENBREL,1003908658,340B SETTING,2
KANJINTI,1003908658,340B SETTING,2
NEULASTA,1003908658,340B SETTING,2
PROLIA,1003908666,340B SETTING,2
RIABNI,1003908666,340B SETTING,2
EPOGEN,1003912197,340B SETTING,2
TEZSPIRE,1003912197,340B SETTING,2
ARANESP,1003913716,340B SETTING,2
KANJINTI,1003913716,340B SETTING,2
NEULASTA,1003913716,340B SETTING,2
AVSOLA,1003916107,340B SETTING,2
NEULASTA,1003916107,340B SETTING,2
PROLIA,1003916107,340B SETTING,2
PROLIA,1003921032,340B SETTING,2
ARANESP,1003929852,340B SETTING,2
ARANESP,1003945213,340B SETTING,2
PROLIA,1003949918,340B SETTING,2
PROLIA,1003956913,340B SETTING,2
TEZSPIRE,1003960139,340B SETTING,2
MVASI,1003968710,340B SETTING,2
PROLIA,1003970203,340B SETTING,2
ARANESP,1003970898,340B SETTING,2
EPOGEN,1003970898,340B SETTING,2
MVASI,1003970898,340B SETTING,2
NEULASTA,1003970898,340B SETTING,2
TEZSPIRE,1003970898,340B SETTING,2
ARANESP,1003975830,340B SETTING,2
KANJINTI,1003978628,340B SETTING,2
PROLIA,1003979360,340B SETTING,2
ARANESP,1003981549,340B SETTING,2
PROLIA,1003983859,340B SETTING,2
PROLIA,1003989153,340B SETTING,2
MVASI,1003997883,340B SETTING,2
RIABNI,1003997883,340B SETTING,2
NEULASTA,1013001270,340B SETTING,2
NEUPOGEN,1013001270,340B SETTING,2
TEZSPIRE,1013001270,340B SETTING,2
PROLIA,1013005941,340B SETTING,2
PROLIA,1013012137,340B SETTING,2
ARANESP,1013035781,340B SETTING,2
NEULASTA,1013044296,340B SETTING,2
PROLIA,1013044296,340B SETTING,2
ARANESP,1013058924,340B SETTING,2
PROLIA,1013058924,340B SETTING,2
ARANESP,1013060961,340B SETTING,2
ENBREL,1013060961,340B SETTING,2
ARANESP,1013061274,340B SETTING,2
ARANESP,1013061837,340B SETTING,2
AVSOLA,1013061837,340B SETTING,2
PROLIA,1013061837,340B SETTING,2
ENBREL,1013061878,340B SETTING,2
PROLIA,1013061878,340B SETTING,2
NEUPOGEN,1013071653,340B SETTING,2
PROLIA,1013077007,340B SETTING,2
TEZSPIRE,1013079482,340B SETTING,2
PROLIA,1013080688,340B SETTING,2
AVSOLA,1013087089,340B SETTING,2
ENBREL,1013105378,340B SETTING,2
MVASI,1013110295,340B SETTING,2
EPOGEN,1013126788,340B SETTING,2
