manufacturer,npi,product,csr,start_date,term_date
amgen,1184125346,RIABNI,1,1-Jun-20,31-Dec-99
amgen,1184125346,TEZSPIRE,1,1-Jun-20,31-Dec-99
amgen,1184137879,ARANESP,1,1-Jun-20,31-Dec-99
amgen,1184137879,AVSOLA,1,1-Jun-20,31-Dec-99
amgen,1184137879,ENBREL,1,1-Jun-20,31-Dec-99
amgen,1184137879,KANJINTI,1,1-Jun-20,31-Dec-99
amgen,1184137879,MVASI,1,1-Jun-20,31-Dec-99
amgen,1184137879,NEULASTA,1,1-Jun-20,31-Dec-99
amgen,1184137879,NEUPOGEN,1,1-Jun-20,31-Dec-99
amgen,1184137879,PROLIA,1,1-Jun-20,31-Dec-99
amgen,1184137879,RIABNI,1,1-Jun-20,31-Dec-99
amgen,1184137879,TEZSPIRE,1,1-Jun-20,31-Dec-99
amgen,1184194482,ARANESP,1,1-Jun-20,31-Dec-99
amgen,1184194482,AVSOLA,1,1-Jun-20,31-Dec-99
amgen,1184194482,ENBREL,1,1-Jun-20,31-Dec-99
amgen,1184194482,KANJINTI,1,1-Jun-20,31-Dec-99
amgen,1184194482,MVASI,1,1-Jun-20,31-Dec-99
amgen,1184194482,NEULASTA,1,1-Jun-20,31-Dec-99
amgen,1184194482,NEUPOGEN,1,1-Jun-20,31-Dec-99
amgen,1184194482,PROLIA,1,1-Jun-20,31-Dec-99
amgen,1184194482,RIABNI,1,1-Jun-20,31-Dec-99
amgen,1184194482,TEZSPIRE,1,1-Jun-20,31-Dec-99
amgen,1184197683,ARANESP,1.028368,1-Jan-20,31-Dec-99
amgen,1184197683,KANJINTI,0.981308,1-Jan-20,31-Dec-99
amgen,1184197683,MVASI,1.001351,1-Jan-20,31-Dec-99
amgen,1184197683,NEULASTA,0.960396,1-Jan-20,31-Dec-99
amgen,1184197683,PROLIA,1,1-Jan-20,31-Dec-99
amgen,1184215329,ARANESP,1,1-Jun-21,31-Dec-99
amgen,1184215329,AVSOLA,1,1-Jun-21,31-Dec-99
amgen,1184215329,ENBREL,1,1-Jun-21,31-Dec-99
amgen,1184215329,KANJINTI,1,1-Jun-21,31-Dec-99
amgen,1184215329,MVASI,1,1-Jun-21,31-Dec-99
amgen,1184215329,NEULASTA,1,1-Jun-21,31-Dec-99
amgen,1184215329,NEUPOGEN,1,1-Jun-21,31-Dec-99
amgen,1184215329,PROLIA,1,1-Jun-21,31-Dec-99
amgen,1184215329,RIABNI,1,1-Jun-21,31-Dec-99
amgen,1184215329,TEZSPIRE,1,1-Jun-21,31-Dec-99
amgen,1184291312,ARANESP,1,1-Nov-21,1-Sep-22
amgen,1184291312,AVSOLA,1,1-Nov-21,1-Sep-22
amgen,1184291312,ENBREL,1,1-Nov-21,1-Sep-22
amgen,1184291312,KANJINTI,1,1-Nov-21,1-Sep-22
amgen,1184291312,MVASI,1,1-Nov-21,1-Sep-22
amgen,1184291312,NEULASTA,1,1-Nov-21,1-Sep-22
amgen,1184291312,NEUPOGEN,1,1-Nov-21,1-Sep-22
amgen,1184291312,PROLIA,1,1-Nov-21,1-Sep-22
amgen,1184291312,RIABNI,1,1-Nov-21,1-Sep-22
amgen,1184291312,TEZSPIRE,1,1-Nov-21,1-Sep-22
amgen,1184606600,ARANESP,1.04,1-Jan-14,31-Dec-99
amgen,1184606600,AVSOLA,1.056833,1-Jan-14,31-Dec-99
amgen,1184606600,KANJINTI,0.909803,1-Jan-14,31-Dec-99
amgen,1184606600,MVASI,0.991959,1-Jan-14,31-Dec-99
amgen,1184606600,NEULASTA,0.991416,1-Jan-14,31-Dec-99
amgen,1184606600,PROLIA,0.87915,1-Jan-14,31-Dec-99
amgen,1184612764,KANJINTI,0.822164,1-Jul-02,31-Dec-99
amgen,1184612764,MVASI,0.938485,1-Jul-02,31-Dec-99
amgen,1184612764,NEULASTA,0.902173,1-Jul-02,31-Dec-99
amgen,1184612764,TEZSPIRE,0.891089,1-Jul-02,31-Dec-99
amgen,1184621096,ARANESP,0.826086,1-Oct-11,31-Dec-99
amgen,1184623084,ARANESP,1,1-Jun-20,31-Dec-99
amgen,1184623084,AVSOLA,1,1-Jun-20,31-Dec-99
amgen,1184623084,ENBREL,1,1-Jun-20,31-Dec-99
amgen,1184623084,KANJINTI,1,1-Jun-20,31-Dec-99
amgen,1184623084,MVASI,1,1-Jun-20,31-Dec-99
amgen,1184623084,NEULASTA,1,1-Jun-20,31-Dec-99
amgen,1184623084,NEUPOGEN,1,1-Jun-20,31-Dec-99
amgen,1184623084,PROLIA,1,1-Jun-20,31-Dec-99
amgen,1184623084,RIABNI,1,1-Jun-20,31-Dec-99
amgen,1184623084,TEZSPIRE,1,1-Jun-20,31-Dec-99
amgen,1184642894,PROLIA,0.83916,1-Jan-14,31-Dec-99
amgen,1184657058,ARANESP,0.845226,1-Jan-07,31-Dec-99
amgen,1184657058,AVSOLA,1,1-Jan-07,31-Dec-99
amgen,1184657058,KANJINTI,0.934782,1-Jan-07,31-Dec-99
amgen,1184657058,MVASI,0.913043,1-Jan-07,31-Dec-99
amgen,1184657058,NEULASTA,0.791437,1-Jan-07,31-Dec-99
amgen,1184657058,PROLIA,0.70624,1-Jan-07,31-Dec-99
amgen,1184657058,RIABNI,0.808593,1-Jan-07,31-Dec-99
amgen,1184695389,ARANESP,0.830508,1-Jan-15,31-Dec-99
amgen,1184695389,PROLIA,0.736111,1-Jan-15,31-Dec-99
amgen,1184705931,ARANESP,0.964705,1-Jul-17,31-Dec-99
amgen,1184707689,ARANESP,1,1-Jun-20,31-Dec-99
amgen,1184707689,AVSOLA,1,1-Jun-20,31-Dec-99
amgen,1184707689,ENBREL,1,1-Jun-20,31-Dec-99
amgen,1184707689,KANJINTI,1,1-Jun-20,31-Dec-99
amgen,1184707689,MVASI,1,1-Jun-20,31-Dec-99
amgen,1184707689,NEULASTA,1,1-Jun-20,31-Dec-99
amgen,1184707689,NEUPOGEN,1,1-Jun-20,31-Dec-99
amgen,1184707689,PROLIA,1,1-Jun-20,31-Dec-99
amgen,1184707689,RIABNI,1,1-Jun-20,31-Dec-99
amgen,1184707689,TEZSPIRE,1,1-Jun-20,31-Dec-99
amgen,1184709057,ARANESP,0.965811,1-Apr-04,31-Dec-99
amgen,1184709057,KANJINTI,0.956101,1-Apr-04,31-Dec-99
amgen,1184709057,MVASI,0.912935,1-Apr-04,31-Dec-99
amgen,1184709057,NEULASTA,0.919742,1-Apr-04,31-Dec-99
amgen,1184712085,AVSOLA,1.014705,1-Apr-15,31-Dec-99
amgen,1184712085,KANJINTI,0.98559,1-Apr-15,31-Dec-99
amgen,1184712085,MVASI,0.991666,1-Apr-15,31-Dec-99
amgen,1184712085,NEULASTA,1.009615,1-Apr-15,31-Dec-99
amgen,1184712085,PROLIA,0.844729,1-Apr-15,31-Dec-99
amgen,1184721722,ARANESP,0.946107,1-Jan-20,31-Dec-99
amgen,1184721722,KANJINTI,0.943943,1-Jan-20,31-Dec-99
amgen,1184721722,MVASI,0.970777,1-Jan-20,31-Dec-99
amgen,1184721722,PROLIA,0.96124,1-Jan-20,31-Dec-99
amgen,1184721722,TEZSPIRE,0.826086,1-Jan-20,31-Dec-99
amgen,1184722779,ARANESP,0.927102,1-Dec-92,31-Dec-99
amgen,1184722779,ENBREL,0.907997,1-Dec-92,31-Dec-99
amgen,1184722779,KANJINTI,0.83082,1-Dec-92,31-Dec-99
amgen,1184722779,MVASI,0.994962,1-Dec-92,31-Dec-99
amgen,1184722779,NEULASTA,0.954944,1-Dec-92,31-Dec-99
amgen,1184722779,PROLIA,0.862308,1-Dec-92,31-Dec-99
amgen,1184722779,TEZSPIRE,0.867724,1-Dec-92,31-Dec-99
amgen,1184775959,ARANESP,1,1-Jun-20,31-Dec-99
amgen,1184775959,AVSOLA,1,1-Jun-20,31-Dec-99
amgen,1184775959,ENBREL,1,1-Jun-20,31-Dec-99
amgen,1184775959,KANJINTI,1,1-Jun-20,31-Dec-99
amgen,1184775959,MVASI,1,1-Jun-20,31-Dec-99
amgen,1184775959,NEULASTA,1,1-Jun-20,31-Dec-99
amgen,1184775959,NEUPOGEN,1,1-Jun-20,31-Dec-99
amgen,1184775959,PROLIA,1,1-Jun-20,31-Dec-99
amgen,1184775959,RIABNI,1,1-Jun-20,31-Dec-99
amgen,1184775959,TEZSPIRE,1,1-Jun-20,31-Dec-99
amgen,1184796690,ARANESP,1,1-Jun-20,31-Dec-99
amgen,1184796690,AVSOLA,1,1-Jun-20,31-Dec-99
amgen,1184796690,ENBREL,1,1-Jun-20,31-Dec-99
amgen,1184796690,KANJINTI,1,1-Jun-20,31-Dec-99
amgen,1184796690,MVASI,1,1-Jun-20,31-Dec-99
amgen,1184796690,NEULASTA,1,1-Jun-20,31-Dec-99
amgen,1184796690,NEUPOGEN,1,1-Jun-20,31-Dec-99
amgen,1184796690,PROLIA,1,1-Jun-20,31-Dec-99
amgen,1184796690,RIABNI,1,1-Jun-20,31-Dec-99
amgen,1184796690,TEZSPIRE,1,1-Jun-20,31-Dec-99
amgen,1184865388,ARANESP,1,1-Jun-20,31-Dec-99
amgen,1184865388,AVSOLA,1,1-Jun-20,31-Dec-99
amgen,1184865388,ENBREL,1,1-Jun-20,31-Dec-99
amgen,1184865388,KANJINTI,1,1-Jun-20,31-Dec-99
amgen,1184865388,MVASI,1,1-Jun-20,31-Dec-99
amgen,1184865388,NEULASTA,1,1-Jun-20,31-Dec-99
amgen,1184865388,NEUPOGEN,1,1-Jun-20,31-Dec-99
amgen,1184865388,PROLIA,1,1-Jun-20,31-Dec-99
amgen,1184865388,RIABNI,1,1-Jun-20,31-Dec-99
amgen,1184865388,TEZSPIRE,1,1-Jun-20,31-Dec-99
amgen,1184917924,ENBREL,0.810996,1-Jul-12,31-Dec-99
amgen,1184917924,PROLIA,0.875933,1-Jul-12,31-Dec-99
amgen,1184968802,ARANESP,1,1-Jun-20,31-Dec-99
amgen,1184968802,AVSOLA,1,1-Jun-20,31-Dec-99
amgen,1184968802,ENBREL,1,1-Jun-20,31-Dec-99
amgen,1184968802,KANJINTI,1,1-Jun-20,31-Dec-99
amgen,1184968802,MVASI,1,1-Jun-20,31-Dec-99
amgen,1184968802,NEULASTA,1,1-Jun-20,31-Dec-99
amgen,1184968802,NEUPOGEN,1,1-Jun-20,31-Dec-99
amgen,1184968802,PROLIA,1,1-Jun-20,31-Dec-99
amgen,1184968802,RIABNI,1,1-Jun-20,31-Dec-99
amgen,1184968802,TEZSPIRE,1,1-Jun-20,31-Dec-99
amgen,1194081562,ARANESP,1,1-Jan-21,31-Dec-99
amgen,1194081562,AVSOLA,1,1-Jan-21,31-Dec-99
amgen,1194081562,ENBREL,1,1-Jan-21,31-Dec-99
amgen,1194081562,KANJINTI,1,1-Jan-21,31-Dec-99
amgen,1194081562,MVASI,1,1-Jan-21,31-Dec-99
amgen,1194081562,NEULASTA,1,1-Jan-21,31-Dec-99
amgen,1194081562,NEUPOGEN,1,1-Jan-21,31-Dec-99
amgen,1194081562,PROLIA,1,1-Jan-21,31-Dec-99
amgen,1194081562,RIABNI,1,1-Jan-21,31-Dec-99
amgen,1194081562,TEZSPIRE,1,1-Jan-21,31-Dec-99
amgen,1194315002,ARANESP,1,1-Jun-21,31-Dec-99
amgen,1194315002,AVSOLA,1,1-Jun-21,31-Dec-99
amgen,1194315002,ENBREL,1,1-Jun-21,31-Dec-99
amgen,1194315002,KANJINTI,1,1-Jun-21,31-Dec-99
amgen,1194315002,MVASI,1,1-Jun-21,31-Dec-99
amgen,1194315002,NEULASTA,1,1-Jun-21,31-Dec-99
amgen,1194315002,NEUPOGEN,1,1-Jun-21,31-Dec-99
amgen,1194315002,PROLIA,1,1-Jun-21,31-Dec-99
amgen,1194315002,RIABNI,1,1-Jun-21,31-Dec-99
amgen,1194315002,TEZSPIRE,1,1-Jun-21,31-Dec-99
amgen,1194341834,ARANESP,1,1-Jul-20,31-Dec-99
amgen,1194341834,AVSOLA,1,1-Jul-20,31-Dec-99
amgen,1194341834,ENBREL,1,1-Jul-20,31-Dec-99
amgen,1194341834,KANJINTI,1,1-Jul-20,31-Dec-99
amgen,1194341834,MVASI,1,1-Jul-20,31-Dec-99
amgen,1194341834,NEULASTA,1,1-Jul-20,31-Dec-99
amgen,1194341834,NEUPOGEN,1,1-Jul-20,31-Dec-99
amgen,1194341834,PROLIA,1,1-Jul-20,31-Dec-99
amgen,1194341834,RIABNI,1,1-Jul-20,31-Dec-99
amgen,1194341834,TEZSPIRE,1,1-Jul-20,31-Dec-99
amgen,1194372300,ARANESP,1,1-Jun-20,31-Dec-99
amgen,1194372300,AVSOLA,1,1-Jun-20,31-Dec-99
amgen,1194372300,ENBREL,1,1-Jun-20,31-Dec-99
amgen,1194372300,KANJINTI,1,1-Jun-20,31-Dec-99
amgen,1194372300,MVASI,1,1-Jun-20,31-Dec-99
amgen,1194372300,NEULASTA,1,1-Jun-20,31-Dec-99
amgen,1194372300,NEUPOGEN,1,1-Jun-20,31-Dec-99
amgen,1194372300,PROLIA,1,1-Jun-20,31-Dec-99
amgen,1194372300,RIABNI,1,1-Jun-20,31-Dec-99
amgen,1194372300,TEZSPIRE,1,1-Jun-20,31-Dec-99
amgen,1194450536,ARANESP,1,1-Sep-22,31-Dec-99
amgen,1194450536,AVSOLA,1,1-Sep-22,31-Dec-99
amgen,1194450536,ENBREL,1,1-Sep-22,31-Dec-99
amgen,1194450536,KANJINTI,1,1-Sep-22,31-Dec-99
amgen,1194450536,MVASI,1,1-Sep-22,31-Dec-99
amgen,1194450536,NEULASTA,1,1-Sep-22,31-Dec-99
amgen,1194450536,NEUPOGEN,1,1-Sep-22,31-Dec-99
amgen,1194450536,PROLIA,1,1-Sep-22,31-Dec-99
amgen,1194450536,RIABNI,1,1-Sep-22,31-Dec-99
amgen,1194450536,TEZSPIRE,1,1-Sep-22,31-Dec-99
amgen,1194706655,ARANESP,0.936708,1-Jan-05,31-Dec-99
amgen,1194706655,KANJINTI,0.802816,1-Jan-05,31-Dec-99
amgen,1194706655,MVASI,1,1-Jan-05,31-Dec-99
amgen,1194706655,NEULASTA,0.83125,1-Jan-05,31-Dec-99
amgen,1194706655,PROLIA,0.97585,1-Jan-05,31-Dec-99
amgen,1194728808,MVASI,1,1-Oct-11,31-Dec-99
amgen,1194731935,KANJINTI,0.936708,1-Oct-14,31-Dec-99
amgen,1194731935,MVASI,0.898734,1-Oct-14,31-Dec-99
amgen,1194731935,NEULASTA,0.878568,1-Oct-14,31-Dec-99
amgen,1194731935,PROLIA,0.880193,1-Oct-14,31-Dec-99
amgen,1194743013,MVASI,0.842696,1-Apr-10,31-Dec-99
amgen,1194744326,MVASI,0.95283,10-Jun-22,31-Dec-99
amgen,1194744326,TEZSPIRE,0.885245,10-Jun-22,31-Dec-99
amgen,1194744805,ARANESP,0.885048,20-Oct-05,31-Dec-99
amgen,1194744805,AVSOLA,0.899887,20-Oct-05,31-Dec-99
amgen,1194744805,KANJINTI,0.994214,20-Oct-05,31-Dec-99
amgen,1194744805,MVASI,0.978364,20-Oct-05,31-Dec-99
amgen,1194744805,NEULASTA,0.951003,20-Oct-05,31-Dec-99
amgen,1194744805,NEUPOGEN,0.936459,20-Oct-05,31-Dec-99
amgen,1194749580,MVASI,0.836065,15-Jun-20,31-Dec-99
amgen,1194749580,PROLIA,0.957723,15-Jun-20,31-Dec-99
amgen,1194757500,PROLIA,0.973782,1-Jan-11,31-Dec-99
amgen,1194776757,MVASI,0.914285,1-Apr-20,31-Dec-99
amgen,1194779702,ARANESP,0.982658,1-Jan-14,31-Dec-99
amgen,1194779702,ENBREL,0.915492,1-Jan-14,31-Dec-99
amgen,1194779702,MVASI,0.986745,1-Jan-14,31-Dec-99
amgen,1194779702,NEULASTA,0.984924,1-Jan-14,31-Dec-99
amgen,1194779702,PROLIA,0.970425,1-Jan-14,31-Dec-99
amgen,1194782409,ARANESP,0.927107,1-Apr-18,31-Dec-99
amgen,1194782409,AVSOLA,1,1-Apr-18,31-Dec-99
amgen,1194782409,MVASI,1,1-Apr-18,31-Dec-99
amgen,1194782409,NEULASTA,0.962264,1-Apr-18,31-Dec-99
amgen,1194782409,PROLIA,0.820197,1-Apr-18,31-Dec-99
amgen,1194831552,ARANESP,1,1-Jun-20,31-Dec-99
amgen,1194831552,AVSOLA,1,1-Jun-20,31-Dec-99
amgen,1194831552,ENBREL,1,1-Jun-20,31-Dec-99
amgen,1194831552,KANJINTI,1,1-Jun-20,31-Dec-99
amgen,1194831552,MVASI,1,1-Jun-20,31-Dec-99
amgen,1194831552,NEULASTA,1,1-Jun-20,31-Dec-99
amgen,1194831552,NEUPOGEN,1,1-Jun-20,31-Dec-99
amgen,1194831552,PROLIA,1,1-Jun-20,31-Dec-99
amgen,1194831552,RIABNI,1,1-Jun-20,31-Dec-99
amgen,1194831552,TEZSPIRE,1,1-Jun-20,31-Dec-99
amgen,1194832477,AVSOLA,0.923857,1-Apr-03,31-Dec-99
amgen,1194832477,KANJINTI,0.865868,1-Apr-03,31-Dec-99
amgen,1194832477,MVASI,0.886766,1-Apr-03,31-Dec-99
amgen,1194832477,NEULASTA,0.975665,1-Apr-03,31-Dec-99
amgen,1194832477,PROLIA,0.957652,1-Apr-03,31-Dec-99
amgen,1194840306,ARANESP,1,1-Jun-20,31-Dec-99
amgen,1194840306,AVSOLA,1,1-Jun-20,31-Dec-99
amgen,1194840306,ENBREL,1,1-Jun-20,31-Dec-99
amgen,1194840306,KANJINTI,1,1-Jun-20,31-Dec-99
amgen,1194840306,MVASI,1,1-Jun-20,31-Dec-99
amgen,1194840306,NEULASTA,1,1-Jun-20,31-Dec-99
amgen,1194840306,NEUPOGEN,1,1-Jun-20,31-Dec-99
amgen,1194840306,PROLIA,1,1-Jun-20,31-Dec-99
amgen,1194840306,RIABNI,1,1-Jun-20,31-Dec-99
amgen,1194840306,TEZSPIRE,1,1-Jun-20,31-Dec-99
amgen,1194926279,ARANESP,0.984615,1-Jul-16,31-Dec-99
amgen,1194926279,KANJINTI,0.860655,1-Jul-16,31-Dec-99
amgen,1194926279,MVASI,1.180952,1-Jul-16,31-Dec-99
amgen,1194926279,NEULASTA,0.974358,1-Jul-16,31-Dec-99
amgen,1194926279,PROLIA,0.788817,1-Jul-16,31-Dec-99
